Date,ECOPETROL.CL,GEB.CL,PFCIBEST.CL,CIBEST.CL,GOOGL,AAPL,BVC.CL,NKE,IVV
2020-06-09,1181.364501953125,1454.5584716796875,17815.15234375,18578.115234375,259825.15751578286,300440.7612730451,5850.53515625,341129.7840370666,1065011.8726327047
2020-06-10,1124.7574462890625,1439.1170654296875,16575.091796875,16848.4296875,265534.20973968506,312228.0263290405,5993.49853515625,343903.95988845825,1072668.4290542603
2020-06-11,1014.0044555664062,1389.7052001953125,15838.421875,16156.5556640625,255139.92767333984,298396.4910888672,5773.5546875,321748.10928344727,1014548.2489013672
2020-06-12,1045.9996337890625,1436.0286865234375,16329.5341796875,16464.048828125,264012.05859375,309009.5484008789,5773.5546875,334713.25799560547,1054660.8771972656
2020-06-16,1107.529052734375,1482.3525390625,15862.9765625,16335.9287109375,270639.7494506836,321547.9893875122,5839.537109375,344228.9088745117,1086242.3015441895
2020-06-17,1055.8443603515625,1457.646484375,15875.251953125,16246.240234375,269783.76368374005,318747.3182650879,5850.53515625,342292.82946823165,1073421.132715553
2020-06-18,1041.0772705078125,1454.5584716796875,15838.421875,16399.98828125,266411.6615628451,318932.9880364239,5872.529296875,339733.18173110485,1074446.3192850351
2020-06-19,1053.3831787109375,1531.76416015625,16268.1455078125,17540.306640625,264842.07164764404,317339.8158168793,5960.50732421875,330758.66024017334,1068667.6302337646
2020-06-23,1060.766845703125,1463.822998046875,15641.974609375,16284.6806640625,270485.60691070557,330552.8083305359,6142.37646484375,349802.592464447,1074079.2168045044
2020-06-24,1028.771484375,1451.469970703125,15351.34375,16201.7275390625,262859.0347766876,322451.8478679657,6108.06201171875,341090.5183753967,1039647.3635559082
2020-06-25,1031.232666015625,1451.469970703125,15525.21875,16033.228515625,266365.51892089844,329161.20160865784,6142.37646484375,348158.02846717834,1058353.0242385864
2020-06-26,1018.9267578125,1445.2935791015625,15264.40234375,15437.001953125,252047.55558776855,319304.2431297302,6142.37646484375,321875.791053772,1033935.2995223999
2020-06-30,1021.3878784179688,1442.2054443359375,15338.923828125,15553.662109375,263265.35449028015,330581.990814209,6119.5,338146.0955619812,1067138.868522644
2020-07-01,1014.0044555664062,1463.822998046875,15314.0810546875,15553.662109375,268605.63402175903,331058.4486961365,6085.18505859375,337025.97193717957,1078031.484413147
